Time,S1,S2,S3,S4,Fail
2008-07-28 15:11,15.1509,24.8491,1.2705,6.8342,1
2008-07-28 23:57,-2.6636,22.6636,1.0027,5.6251,-1
2008-07-29 4:08,-2.4636,22.4636,1.0049,4.8977,-1
2008-07-29 5:16,19.3136,20.6864,0.858,5.4481,-1
2008-07-29 6:19,8.3045,31.6955,1.0333,6.9464,-1
2008-07-29 8:23,5.03,34.97,1.5783,7.4132,1
2008-07-29 11:47,12.0945,27.9055,0.9556,6.8808,-1
2008-07-29 15:41,23.1373,16.8627,0.8899,5.107,-1
2008-07-29 15:49,25.0382,14.9618,1.0083,5.9064,1
2008-07-29 17:05,23.3109,16.6891,0.9898,6.1475,1
2008-07-29 18:08,23.9555,16.0445,1.0196,6.217,1
2008-07-29 21:07,21.39,18.61,1.0633,4.9702,-1
2008-07-29 23:14,1.5882,38.4118,1.077,5.1451,-1
2008-07-29 23:19,0.6782,19.3218,0.9699,5.3681,-1
2008-07-30 6:30,20.0455,19.9545,1.1096,5.8889,-1
2008-07-30 7:08,21.8964,18.1036,0.9188,6.615,-1
2008-07-30 12:02,22.8809,17.1191,1.0692,5.5407,-1
2008-07-30 12:29,2.5209,37.4791,0.8364,5.8719,1
2008-07-30 21:16,15.9527,24.0473,0.966,4.8044,1
2008-07-31 13:57,-1.6545,21.6545,1.0238,5.6149,-1
2008-07-31 15:36,6.7391,33.2609,0.8602,6.3673,-1
2008-07-31 17:07,13.8118,26.1882,0.9362,5.5992,-1
2008-07-31 20:18,18.3209,21.6791,1.0277,4.9575,1
2008-01-08 2:02,16.4582,23.5418,1.0104,5.6916,-1
2008-01-08 5:52,9.05,30.95,1.0204,3.8233,1
2008-01-08 10:20,18.8309,21.1691,1.0443,5.4454,-1
2008-01-08 10:26,18.2809,21.7191,1.0279,4.449,-1
2008-01-08 11:28,19.8,20.2,0.852,5.2492,-1
2008-01-08 12:29,11.6818,28.3182,0.9288,6.3197,-1
2008-01-08 14:07,22.4345,17.5655,0.9251,5.9098,-1
2008-01-08 15:10,17.1627,22.8373,1.0366,5.2908,-1
2008-02-08 3:39,25.4573,14.5427,0.9001,5.3509,-1
2008-03-08 13:09,20.5509,19.4491,1.0593,4.9379,-1
2008-03-08 14:06,18.6827,21.3173,0.9366,6.7393,-1
2008-03-08 14:25,25.4427,14.5573,0.8156,3.3985,-1
2008-03-08 15:03,17.6373,22.3627,1.0716,5.9693,-1
2008-03-08 15:27,24.3509,15.6491,1.0578,5.2549,-1
2008-03-08 16:00,12.0627,27.9373,0.8182,7.3484,-1
2008-03-08 17:00,9.5227,30.4773,0.9518,7.0702,-1
2008-03-08 17:58,22.9245,17.0755,0.9283,5.1076,-1
2008-03-08 20:23,9.3336,30.6664,0.8549,4.9415,-1
2008-03-08 22:52,12.5391,27.4609,0.8434,7.1487,-1
2008-04-08 0:39,12.4309,27.5691,0.8918,6.1096,1
2008-04-08 3:45,28.6355,11.3645,0.8494,4.6119,-1
2008-04-08 3:49,8.6927,31.3073,0.9984,6.3461,-1
2008-04-08 13:19,-5.3055,25.3055,1.0706,4.4162,-1
2008-04-08 14:04,-8.7491,28.7491,1.0498,4.6529,-1
2008-04-08 14:31,26.6582,13.3418,1.0722,5.0862,-1
2008-04-08 15:29,28.7064,11.2936,1.0488,4.8691,-1
2008-04-08 16:15,-8.2255,28.2255,1.053,4.1249,-1
2008-04-08 16:31,28.1191,11.8809,0.9717,6.5257,-1
2008-04-08 17:11,8.6673,11.3327,0.9944,4.9061,-1
2008-04-08 17:46,3.8509,16.1491,0.9996,6.1261,-1
2008-04-08 18:24,-15.1964,35.1964,1.3231,4.1775,-1
2008-04-08 19:58,-6.4836,26.4836,1.0227,4.4159,-1
2008-04-08 20:32,-11.2182,31.2182,1.0223,3.1641,-1
2008-04-08 20:58,11.5591,28.4409,0.8086,8.0936,1
2008-04-08 21:43,28.4227,11.5773,1.2666,5.9176,-1
2008-04-08 22:51,24.4727,15.5273,1.2755,5.4928,-1
2008-04-08 23:33,5.1345,34.8655,0.8645,5.1401,-1
2008-05-08 0:04,24.8064,15.1936,1.2378,4.7966,-1
2008-05-08 1:12,27.6182,12.3818,1.0797,5.6247,-1
2008-05-08 2:15,20.5864,19.4136,1.0996,4.8064,-1
2008-05-08 2:36,27.6655,12.3345,1.0068,5.4798,-1
2008-05-08 2:45,29.0264,10.9736,1.1811,5.1608,-1
2008-05-08 3:17,27.7364,12.2636,0.8439,4.3907,-1
2008-05-08 3:36,24.8282,15.1718,0.9883,5.4243,-1
2008-05-08 3:54,24.6118,15.3882,1.0274,4.8857,-1
2008-05-08 4:32,27.7155,12.2845,1.1912,4.5234,-1
2008-05-08 4:35,23.7864,16.2136,1.0322,6.7107,-1
2008-05-08 5:11,20.6,19.4,1.0594,6.2327,-1
2008-05-08 6:10,29.7509,10.2491,1.212,4.7134,-1
2008-05-08 6:11,23.9945,16.0055,1.0761,5.9738,-1
2008-05-08 6:21,16.7909,23.2091,1.0258,5.7378,-1
2008-05-08 7:12,23.7136,16.2864,1.1316,5.151,-1
2008-05-08 7:12,18.5764,21.4236,1.5275,6.7892,1
2008-05-08 7:48,24.2918,15.7082,1.042,4.7744,-1
2008-05-08 8:50,25.5127,14.4873,0.8602,4.7409,-1
2008-05-08 9:48,26.7064,13.2936,1.0378,4.1918,-1
2008-05-08 14:17,8.9136,31.0864,0.9839,6.2939,-1
2008-05-08 14:45,8.9418,31.0582,1.017,3.9162,-1
2008-05-08 15:45,6.9918,33.0082,0.9093,6.5504,-1
2008-05-08 20:04,16.6036,23.3964,1.0383,5.1975,-1
2008-05-08 21:07,16.5255,23.4745,1.0464,4.9776,-1
2008-05-08 21:22,29.1918,10.8082,1.0232,6.0195,-1
2008-05-08 23:02,10.08,29.92,0.8153,4.0775,-1
2008-05-08 23:06,3.9055,36.0945,1.0213,6.1842,-1
2008-05-08 23:38,26.6527,13.3473,1.0508,7.4808,-1
2008-06-08 0:04,17.6864,22.3136,1.0582,6.9181,-1
2008-06-08 2:20,15.0182,24.9818,1.0232,5.159,-1
2008-06-08 3:22,15.7936,24.2064,1.0294,4.3306,-1
2008-06-08 5:40,6.6636,33.3364,0.7263,4.3065,1
2008-06-08 9:56,10.2109,29.7891,0.9447,5.091,-1
2008-06-08 9:57,-19.1518,39.1518,0.9643,4.5302,-1
2008-06-08 12:33,22.2164,17.7836,1.0126,4.9059,-1
2008-06-08 13:35,25.8364,14.1636,1.1244,5.6758,-1
2008-06-08 17:35,25.9591,14.0409,0.8672,4.4733,-1
2008-06-08 18:00,23.8864,16.1136,1.062,5.1218,-1
2008-06-08 18:34,23.0364,16.9636,0.8801,4.2455,-1
2008-06-08 19:13,22.7418,17.2582,1.0681,5.019,-1
2008-06-08 19:24,-9.2836,29.2836,0.9581,6.7797,-1
2008-06-08 20:00,-17.9336,37.9336,0.8568,6.0556,-1
2008-06-08 20:17,23.5609,16.4391,1.0692,4.6108,-1
2008-06-08 21:15,-8.3127,48.3127,0.8327,5.4572,-1
2008-06-08 22:27,5.3382,34.6618,0.9307,6.3276,-1
2008-06-08 23:40,23.8745,16.1255,0.9029,4.9377,-1
2008-06-08 23:45,27.3427,12.6573,1.1864,4.6988,-1
2008-07-08 0:51,17.3018,22.6982,1.0381,3.9509,-1
2008-07-08 7:30,26.2655,13.7345,0.9278,9.1301,-1
2008-07-08 8:21,-21.2055,41.2055,0.9414,4.5992,-1
2008-07-08 8:45,-7.5382,27.5382,1.0375,6.0177,-1
2008-07-08 8:55,4.3109,15.6891,0.9112,6.3185,-1
2008-07-08 10:12,29.1164,10.8836,0.8446,4.633,-1
2008-07-08 11:10,15.8609,24.1391,1.0866,4.9406,-1
2008-07-08 11:40,26.7745,13.2255,1.0994,5.0729,1
2008-08-08 4:55,-3.2509,23.2509,1.2059,5.8547,-1
2008-08-08 7:26,0.2309,19.7691,1.0433,4.7527,-1
2008-08-08 8:44,26.4509,13.5491,1.3415,4.9274,1
2008-08-08 12:37,-12.1527,32.1527,0.9728,5.658,1
2008-08-08 20:21,-1.5664,41.5664,1.095,6.519,-1
2008-08-08 21:22,14.6455,25.3545,1.0223,5.9943,-1
2008-08-08 21:53,9.6745,30.3255,1.016,6.4736,-1
2008-08-08 22:06,9.8418,30.1582,1.0643,5.6171,-1
2008-08-08 22:25,-5.8682,25.8682,1.0179,3.6339,-1
2008-09-08 2:15,-12.1373,32.1373,1.0349,5.4811,-1
2008-09-08 2:37,12.8364,27.1636,0.7447,3.6581,-1
2008-09-08 6:05,9.4982,30.5018,1.0271,5.4817,-1
2008-09-08 9:16,2.5827,37.4173,1.0358,6.0772,1
2008-09-08 9:22,15.1073,24.8927,1.0919,6.6822,-1
2008-09-08 11:42,4.4282,35.5718,1.0292,6.2531,1
2008-09-08 17:34,17.7927,22.2073,1.0648,6.4502,-1
2008-09-08 19:03,22.7927,17.2073,0.9557,4.7129,-1
2008-09-08 20:04,4.6609,35.3391,1.0629,6.0212,-1
2008-09-08 21:07,26.0509,13.9491,0.8408,4.624,-1
2008-09-08 22:15,17.1673,22.8327,1.0366,5.1789,-1
2008-09-08 22:37,27.7282,12.2718,1.1561,5.5519,-1
2008-09-08 23:17,-13.1245,33.1245,1.0478,4.3346,-1
2008-09-08 23:34,-10.8745,30.8745,1.0083,4.0261,-1
2008-10-08 0:09,-13.3573,33.3573,1.0739,4.5093,-1
2008-10-08 0:46,-2.2809,22.2809,0.9852,4.8217,-1
2008-10-08 6:00,4.9745,35.0255,1.0883,6.0838,1
2008-10-08 6:41,0.3764,19.6236,1.0203,4.0946,-1
2008-10-08 7:01,27.4136,12.5864,0.8754,9.9429,1
2008-10-08 11:16,-10.1291,30.1291,1.0665,3.9807,-1
2008-10-08 11:49,-11.4709,31.4709,1.0169,5.2665,-1
2008-10-08 12:22,3.8964,16.1036,1.0494,5.0091,-1
2008-10-08 15:59,12.8982,27.1018,0.7873,7.9317,1
2008-10-08 19:07,0.4836,39.5164,1.098,6.3585,-1
2008-10-08 20:07,12.3073,27.6927,0.7567,5.119,1
2008-10-08 22:26,21.7573,18.2427,1.0699,4.4579,1
2008-11-08 3:06,10.0236,29.9764,1.0047,6.0788,-1
2008-11-08 4:09,8.0636,31.9364,1.0523,5.5119,-1
2008-11-08 5:15,2.0427,37.9573,1.0669,5.8805,-1
2008-11-08 11:35,17.4,22.6,0.9892,4.4325,-1
2008-11-08 12:38,3.28,36.72,1.0767,5.6288,-1
2008-12-08 4:23,9.2527,10.7473,1.0103,3.1742,-1
2008-12-08 6:16,-17.3591,37.3591,0.8551,4.7862,-1
2008-12-08 10:54,-9.4964,29.4964,1.068,5.6302,-1
2008-12-08 11:29,-7.9627,27.9627,1.418,4.2954,-1
2008-12-08 12:04,1.1173,38.8827,1.0137,5.7351,-1
2008-08-13 2:48,8.3918,31.6082,1.0392,5.2398,-1
2008-08-15 3:26,-15.5318,35.5318,1.0013,4.7025,-1
2008-08-15 4:14,9.6564,30.3436,0.8089,4.4007,-1
2008-08-15 5:13,13.7,26.3,1.1443,5.9776,-1
2008-08-15 9:38,6.5191,13.4809,1.1634,5.5563,-1
2008-08-15 10:14,5.3118,14.6882,1.1057,5.9612,-1
2008-08-15 11:42,7.7745,32.2255,0.9857,4.9738,-1
2008-08-15 18:19,23.9018,16.0982,1.7134,4.1589,-1
2008-08-15 19:19,-0.3327,20.3327,1.1175,5.408,-1
2008-08-15 20:00,20.7782,19.2218,1.7705,5.8348,-1
2008-08-15 20:03,24.26,15.74,1.343,5.1274,-1
2008-08-15 23:31,6.7073,13.2927,0.9716,5.1566,-1
2008-08-16 2:21,29.7264,10.2736,1.0298,5.224,-1
2008-08-16 5:47,11.4855,28.5145,0.7839,5.8437,-1
2008-08-16 6:52,28.3127,11.6873,1.0472,5.274,-1
2008-08-16 7:33,13.7255,26.2745,1.0399,6.3973,-1
2008-08-16 8:39,18.8673,21.1327,1.0848,6.5972,-1
2008-08-16 8:41,5.5782,14.4218,1.0614,6.1385,-1
2008-08-16 9:44,25.5282,14.4718,1.047,5.9524,1
2008-08-16 13:51,5.9945,14.0055,1.0881,5.5813,-1
2008-08-16 14:30,2.7764,17.2236,1.0998,5.7352,-1
2008-08-16 15:16,2.6173,17.3827,1.0509,5.2947,-1
2008-08-16 15:19,20.8336,19.1664,0.7465,7.9441,1
2008-08-16 23:48,27.3,12.7,1.0329,5.4075,-1
2008-08-17 0:52,5.4191,14.5809,1.0369,6.0121,-1
2008-08-17 1:53,5.9136,14.0864,1.1269,6.2617,-1
2008-08-17 3:17,5.3782,14.6218,1.0924,6.625,-1
2008-08-17 3:18,-11.2309,31.2309,0.9237,6.4984,-1
2008-08-17 3:46,-1.8473,41.8473,1.0748,6.0095,-1
2008-08-17 4:19,25.43,14.57,1.0612,6.8473,-1
2008-08-17 5:21,15.4555,24.5445,0.8359,5.7853,-1
2008-08-17 12:16,0.7582,19.2418,1.146,6.9346,1
2008-08-17 13:34,-12.0473,32.0473,1.049,6.2173,-1
2008-08-17 14:21,-10.2673,30.2673,1.0327,6.9559,-1
2008-08-17 15:25,1.1591,18.8409,0.882,4.6805,-1
2008-08-17 21:26,-11.8245,31.8245,1.1329,6.5442,1
2008-08-17 22:03,8.4236,31.5764,1.0782,6.6267,1
2008-08-17 22:21,18.6045,21.3955,0.7982,5.3894,-1
2008-08-17 23:04,8.9764,31.0236,1.0847,7.21,1
2008-08-17 23:20,0.7218,19.2782,1.1159,5.5653,-1
2008-08-17 23:55,-1.42,21.42,0.8235,5.5261,1
2008-08-18 0:02,9.2082,30.7918,1.0948,7.4859,1
2008-08-18 0:20,12.1609,27.8391,1.0483,5.2441,-1
2008-08-18 1:23,8.5273,31.4727,1.0015,7.1261,1
2008-08-18 4:01,17.1745,22.8255,0.8369,5.6644,1
2008-08-18 4:12,5.7855,14.2145,0.9136,6.5888,-1
2008-08-18 4:35,14.4382,25.5618,0.9949,6.2029,-1
2008-08-18 5:03,11.6964,28.3036,1.0823,5.9622,-1
2008-08-18 5:25,18.0545,21.9455,1.0418,5.7205,-1
2008-08-18 6:07,20.7055,19.2945,1.0432,8.0933,-1
2008-08-18 6:11,1.1273,18.8727,1.1219,5.7546,-1
2008-08-18 6:26,16.4073,23.5927,1.078,6.5608,-1
2008-08-18 7:11,5.4018,14.5982,0.8755,5.6569,-1
2008-08-18 7:23,26.8609,13.1391,1.1084,6.26,-1
2008-08-18 7:29,23.7709,16.2291,1.0771,6.1542,-1
2008-08-18 8:18,-0.84,20.84,0.9762,8.5081,-1
2008-08-18 8:31,25.4264,14.5736,1.0354,5.7385,-1
2008-08-18 10:13,26.6136,13.3864,1.0748,5.8299,-1
2008-08-18 11:04,-6.5391,26.5391,1.174,7.156,-1
2008-08-18 12:00,0.1518,19.8482,1.1679,5.7447,-1
2008-08-18 12:06,2.8245,17.1755,1.092,6.5143,-1
2008-08-18 12:22,12.1818,27.8182,1.3555,6.1568,-1
2008-08-18 12:49,19.5609,20.4391,1.1673,6.0301,-1
2008-08-18 13:07,-1.1609,21.1609,1.0167,5.6007,-1
2008-08-18 14:01,18.63,21.37,1.1514,5.0167,-1
2008-08-18 14:04,20.7118,19.2882,0.9765,6.0402,-1
2008-08-18 14:45,-11.9682,31.9682,1.0188,7.0192,-1
2008-08-18 15:00,16.8445,23.1555,0.8042,5.3209,-1
2008-08-18 15:26,14.0382,25.9618,0.9844,6.1902,-1
2008-08-18 15:30,28.4009,11.5991,1.0786,5.3926,-1
2008-08-18 15:33,22.1827,17.8173,1.0649,6.0206,-1
2008-08-18 15:41,9.1882,30.8118,1.0739,5.9011,-1
2008-08-18 16:19,1.5018,18.4982,0.8499,4.9503,-1
2008-08-18 17:13,16.0155,23.9845,1.0151,6.8713,1
2008-08-18 17:16,2.5027,17.4973,0.9328,5.1598,-1
2008-08-18 17:37,87.0391,32.896,6363.6566,90.5159,-1
2008-08-18 19:24,0.7591,19.2409,1.0872,5.1952,-1
2008-08-18 19:54,9.8782,30.1218,0.994,7.3143,1
2008-08-18 23:00,15.6791,24.3209,1.1141,6.1856,-1
2008-08-18 23:03,16.2418,23.7582,0.9783,6.6201,-1
2008-08-18 23:47,10.3745,29.6255,1.3875,6.7009,-1
2008-08-19 1:10,2.5045,17.4955,0.9541,5.9798,-1
2008-08-19 3:59,24.14,15.86,0.9737,5.2281,1
2008-08-19 4:58,23.7109,16.2891,1.0751,5.5113,-1
2008-08-19 5:09,5.78,14.22,0.9285,5.8918,-1
2008-08-19 5:11,-0.18,20.18,1.0821,5.8251,-1
2008-08-19 5:11,-8.6082,28.6082,1.0724,7.4732,-1
2008-08-19 5:40,22.7173,17.2827,1.0923,5.1827,-1
2008-08-19 5:41,20.0236,19.9764,1.1194,6.7781,-1
2008-08-19 5:53,17.9782,22.0218,1.1538,5.2426,-1
2008-08-19 5:54,17.7327,22.2673,1.1102,6.6204,-1
2008-08-19 5:56,1.3718,38.6282,1.3887,5.7126,1
2008-08-19 6:24,2.0373,17.9627,1.1089,5.6306,-1
2008-08-19 7:43,1.4218,18.5782,1.0109,6.9531,-1
2008-08-19 7:58,22.4382,17.5618,1.4559,5.5928,1
2008-08-19 8:01,14.9018,25.0982,1.1306,6.3232,-1
2008-08-19 8:07,4.4391,15.5609,0.855,5.6791,-1
2008-08-19 8:33,-15.31,35.31,1.1008,5.3009,-1
2008-08-19 9:04,27.3227,12.6773,1.0227,5.2108,-1
2008-08-19 9:05,2.78,17.22,0.811,4.8753,-1
2008-08-19 10:46,18.1782,21.8218,1.0491,5.516,-1
2008-08-19 11:11,22.3736,17.6264,0.9991,5.8108,-1
2008-08-19 11:13,24.4791,15.5209,1.0831,6.4172,-1
2008-08-19 11:13,20.7209,19.2791,1.1358,6.0744,-1
2008-08-19 11:28,6.2045,13.7955,0.9854,6.6698,-1
2008-08-19 11:44,6.9082,33.0918,0.9619,5.1445,-1
2008-08-19 11:46,23.2655,16.7345,1.1056,5.5627,-1
2008-08-19 11:57,-7.8309,27.8309,1.1073,6.4698,-1
2008-08-19 11:58,0.5373,19.4627,1.1035,5.285,-1
2008-08-19 12:30,3.1136,36.8864,1.1254,6.8087,-1
2008-08-19 15:33,25.1891,14.8109,1.1711,5.2152,-1
2008-08-19 18:12,1.23,18.77,0.9903,5.3767,-1
2008-08-19 18:12,13.5955,26.4045,1.0638,5.9753,-1
2008-08-19 18:30,-2.9273,22.9273,0.895,6.7904,-1
2008-08-19 18:30,13.3745,26.6255,1.0465,6.4138,-1
2008-08-19 19:38,27.4627,12.5373,1.1733,6.0549,-1
2008-08-19 20:53,4.9991,15.0009,1.0013,6.3279,-1
2008-08-20 0:05,1.9145,18.0855,1.0351,5.7042,-1
2008-08-20 1:33,9.5927,10.4073,0.9682,6.4422,-1
2008-08-20 1:42,1.8182,18.1818,1.0356,5.4658,-1
2008-08-20 2:13,22.6936,17.3064,1.1643,5.7135,-1
2008-08-20 2:27,19.1027,20.8973,1.0998,7.3107,1
2008-08-20 3:00,3.3055,16.6945,0.9543,4.9886,-1
2008-08-20 3:12,13.6809,26.3191,1.0601,6.1303,1
2008-08-20 6:36,26.9136,13.0864,1.1617,6.4535,-1
2008-08-20 7:12,0.1427,19.8573,0.8541,5.8256,-1
2008-08-20 8:40,14.75,25.25,1.096,5.7388,1
2008-08-20 9:17,8.0955,11.9045,1.0383,5.5291,1
2008-08-20 10:26,0.8873,19.1127,0.8556,5.6358,-1
2008-08-20 16:08,1.77,18.23,0.9986,3.7135,-1
2008-08-20 16:16,21.1082,18.8918,1.1361,5.7274,-1
2008-08-20 17:09,4.6327,15.3673,1.0403,5.8151,-1
2008-08-20 17:35,10.7709,29.2291,0.9964,5.1089,-1
2008-08-20 17:36,4.4155,15.5845,1.1258,5.1894,-1
2008-08-20 18:29,4.4091,15.5909,0.9427,5.3597,-1
2008-08-20 18:35,-10.37,30.37,0.884,6.5828,-1
2008-08-20 19:20,5.8091,34.1909,0.9081,5.0817,1
2008-08-20 20:19,2.0664,17.9336,0.9256,5.4856,-1
2008-08-20 21:33,-0.2173,20.2173,1.0236,5.977,-1
2008-08-20 21:41,4.97,15.03,0.8774,5.5644,-1
2008-08-20 21:58,1.4036,18.5964,1.51,5.6114,-1
2008-08-20 22:13,2.9536,17.0464,1.0551,6.3885,-1
2008-08-20 22:45,-0.5691,20.5691,1.0684,5.6422,-1
2008-08-20 23:18,5.8727,14.1273,1.1095,6.7067,-1
2008-08-20 23:43,14.0673,25.9327,1.0262,6.7743,1
2008-08-21 2:11,-5.6018,25.6018,1.0015,5.5704,-1
2008-08-21 2:46,2.0009,17.9991,1.0257,5.8088,-1
2008-08-21 4:22,20.81,19.19,1.1448,5.6826,-1
2008-08-21 4:29,-5.9045,25.9045,0.9785,6.5953,-1
2008-08-21 5:06,-0.3264,20.3264,1.0957,5.9503,-1
2008-08-21 5:15,4.3055,15.6945,0.9144,4.999,-1
2008-08-21 6:10,5.0809,34.9191,1.0126,6.1312,1
2008-08-21 11:22,6.3364,13.6636,1.0872,5.3105,-1
2008-08-21 12:00,3.1418,16.8582,0.837,5.4138,-1
2008-08-21 12:31,22.1027,17.8973,1.0546,5.6227,-1
2008-08-21 12:33,-0.8891,20.8891,0.9698,6.8131,-1
2008-08-21 12:43,-6.8555,26.8555,1.0084,6.6844,-1
2008-08-21 12:52,2.1473,17.8527,1.1273,6.7452,-1
2008-08-21 13:11,-8.4836,28.4836,0.9339,6.6425,-1
2008-08-21 13:19,3.9382,16.0618,0.8183,4.9504,-1
2008-08-21 13:29,-0.2618,20.2618,0.9436,7.9576,-1
2008-08-21 13:45,-2.7936,22.7936,0.8246,5.6451,-1
2008-08-21 14:47,9.8518,30.1482,0.9971,6.1526,-1
2008-08-21 15:05,3.8936,16.1064,1.1167,5.8327,-1
2008-08-21 15:06,-5.9236,25.9236,1.0303,7.5999,-1
2008-08-21 15:32,4.0991,15.9009,1.0249,5.8606,-1
2008-08-21 15:48,6.3436,13.6564,0.9925,5.1468,-1
2008-08-21 15:50,0.31,19.69,1.0529,5.5951,-1
2008-08-21 16:19,28.5145,11.4855,1.1199,6.4557,1
2008-08-21 16:36,4.0209,15.9791,1.0639,5.1666,-1
2008-08-21 17:25,3.2182,16.7818,1.0603,6.0348,-1
2008-08-21 17:44,14.3891,25.6109,1.0401,5.8395,-1
2008-08-21 18:04,6.2455,13.7545,0.8096,5.1982,-1
2008-08-21 18:05,3.7982,16.2018,1.0967,5.504,1
2008-08-21 18:39,-1.9555,21.9555,1.1424,7.9605,-1
2008-08-21 18:53,-10.6036,30.6036,0.9926,5.8336,-1
2008-08-21 19:12,3.88,16.12,0.814,6.0288,-1
2008-08-21 19:12,5.7945,14.2055,1.003,7.8124,-1
2008-08-21 19:46,0.8018,19.1982,1.0838,5.6491,-1
2008-08-21 20:19,10.8955,29.1045,1.0845,6.1921,-1
2008-08-21 20:21,15.2791,24.7209,1.1636,6.6792,-1
2008-08-21 20:37,18.7173,21.2827,1.1315,6.2778,-1
2008-08-21 21:32,3.3955,16.6045,0.8867,6.281,-1
2008-08-21 22:25,0.1227,19.8773,1.118,5.3139,-1
2008-08-21 22:41,3.5336,16.4664,1.0258,6.2528,-1
2008-08-21 23:08,-5.3355,25.3355,1.1709,7.9483,-1
2008-08-21 23:27,1.4355,18.5645,1.1026,5.0647,-1
2008-08-21 23:53,7.3918,32.6082,1.1265,5.7851,-1
2008-08-21 23:57,4.8018,15.1982,0.8743,6.4182,-1
2008-08-22 0:43,-7.4155,27.4155,0.9921,8.6899,-1
2008-08-22 0:44,0.0945,19.9055,1.1265,5.4999,-1
2008-08-22 0:47,8.9073,31.0927,1.126,6.5892,-1
2008-08-22 1:04,5.0473,14.9527,0.9471,6.1326,1
2008-08-22 1:26,26.1536,13.8464,1.0738,6.3672,-1
2008-08-22 1:27,-2.9973,22.9973,1.0754,5.7972,-1
2008-08-22 1:54,-5.6473,25.6473,1.0361,6.7812,-1
2008-08-22 2:01,-1.2182,21.2182,1.0496,6.1023,-1
2008-08-22 2:25,1.2264,18.7736,0.8228,5.8473,-1
2008-08-22 2:52,2.8355,17.1645,1.0304,6.8194,-1
2008-08-22 3:18,5.9073,14.0927,0.7965,5.0158,-1
2008-08-22 3:58,4.5027,15.4973,0.9695,5.7124,-1
2008-08-22 4:40,3.2591,16.7409,0.852,5.5702,-1
2008-08-22 4:57,4.1509,15.8491,0.9758,4.9116,-1
2008-08-22 5:21,4.4564,15.5436,0.8245,4.8963,-1
2008-08-22 5:31,0.4591,19.5409,0.9548,5.7397,-1
2008-08-22 5:32,-1.0773,21.0773,0.9575,5.6786,-1
2008-08-22 6:00,10.9955,29.0045,1.0861,7.2218,1
2008-08-22 7:04,2.0064,17.9936,1.0363,6.3581,-1
2008-08-22 7:17,18.4,21.6,1.2568,7.1727,-1
2008-08-22 7:27,0.3036,19.6964,1.0716,6.1009,-1
2008-08-22 9:29,22.7636,17.2364,1.0224,4.6907,-1
2008-08-22 9:29,6.1527,13.8473,1.0085,5.3797,-1
2008-08-22 10:01,20.2627,19.7373,1.1671,6.3872,-1
